Name,Bottle Size,Original Price,Discounted Price,Img link
Dr. Reckeweg R5 Stomach and Digestion Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/cropped/ujyv7mc6rw5ginrjboqt/sbl-agnus-castus-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 100 ml Drop,₹425,₹314,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/cropped/w4alfqj2e08dm7nufzaj/sbl-kali-bichromicum-dilution-30-ch.jpg"
Dr. Reckeweg R25 Prostatitis Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/umleeo5ppguu0v7xdazq/dr.-reckeweg-five-phos-6x-tablet.jpg"
Dr. Reckeweg R42 Varicosis Drop,bottle of 22 ml Drop,₹270,₹232,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/cropped/lccful9bxp3lyaqrtjad/dr-willmar-schwabe-india-phytolacca-berry-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/6c157e3b3a7d4f30a688c808e70a9e59/sbl-guatteria-gaumeri-mother-tincture-q.jpg"
SBL Liv T Tonic,bottle of 180 ml Tonic,₹170,₹144,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/cropped/ig6uz8dkn3h9d1akyvmz/dr.-reckeweg-hekla-lava-trituration-tablet-3x.jpg"
Bakson's Throat Aid Tablet,bottle of 200 tablets,₹500,₹342,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/cropped/zvo5jraqmpp5okczrqas/sbl-stobal-cough-syrup.png"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg R7 Liver and Gallbladder Drop,bottle of 22 ml Drop,₹270,₹227,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/jptdhdhasnptp71hacvh/sbl-kali-muriaticum-biochemic-tablet-6x.jpg"
Dr. Reckeweg R71 Sciatica Drop,bottle of 22 ml Drop,₹270,₹232,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/qeygjt4ncejaw6q5r0re/sbl-hamamelis-virginica-mother-tincture-q.jpg"
