Name,Bottle Size,Original Price,Discounted Price,Img link
SBL Euphrasia Officinalis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹93,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/ejr0hp2r0jyf8k8bnekv/dr.-reckeweg-insulinum-trituration-tablet-10x.jpg"
SBL Bio-Combination 5 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹92,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/p5hlaj97hxxgfdo2z7kg/bakson-s-calcarea-fluorica-biochemic-tablet-12x.jpg"
Dr Willmar Schwabe India Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/i6vpnss1mvrivh2gmsfu/bjain-baryta-carbonica-dilution-30-ch.jpg"
Dr Willmar Schwabe India Justicia Adhatoda Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹96,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/xzokvctuluyudqycbomc/repl-dr.-advice-no.23-breast-atrophii-drop.png"
SBL Bacopa Munnieri Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹90,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/z8akxdzkuaxkpokhpwzr/allen-a44-hyper-acidity-ulcer-drop.jpg"
SBL Cochlearia Armoracia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/ylmpaqsz9p7bdwci58em/sbl-wormorid-drop.jpg"
Dr. Reckeweg R4 Diarrhoea Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/n3okzw8mairngdiebseh/bjain-andrographis-paniculata-mother-tincture-q.jpg"
SBL Coffea Cruda Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/a5qzkmklwoht0kypkkjw/bakson-s-biocombination-19-tablet.jpg"
Wheezal Calendula Nectar Prickly Heat Powder,box of 100 gm Powder,₹90,₹70,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/xvui6l1foteualysjvty/sbl-holarrhena-antidysenterica-mother-tincture-q.jpg"
SBL Ledum Palustre Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹89,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/vfufmavfgjnoiad4uabw/sbl-lobelia-inflata-mother-tincture-q.jpg"
SBL Stobal Cough Syrup Sugar Free,bottle of 180 ml Syrup,₹175,₹130,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/udpudndntjvwpq2a2edd/bjain-phytolacca-berry-mother-tincture-q.jpg"
SBL Petroleum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/cropped/oloabafn7di3p6irs7yf/repl-dr.-advice-no.53-hirsutismm-drop.png"
SBL Antimonium Crudum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/w_150,h_150,f_auto,q_auto,c_fit/gfxbeywz6xmfmnfuketh/repl-dr.-advice-no.70-nodules-drop.jpg"
Bakson's Arnica Shampoo,bottle of 250 ml Shampoo,₹215,₹185,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/jd8uwrlt5mwqsayywcw2/sbl-calcarea-phosphorica-biochemic-tablet-3x.jpg"
SBL Jaborandi Plus Hair Oil,bottle of 200 ml Oil,₹300,₹258,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/lvtvq6kqivzt1fjsczci/bakson-s-natrum-sulphuricum-biochemic-tablet-12x.jpg"
SBL Selenium Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Bio-Combination 12 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹95,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/vkibvorzltikveklnzvh/dr-willmar-schwabe-india-alpha-liv-liver-tonic.png"
Dr Willmar Schwabe India Angioton Drop,bottle of 30 ml Drop,₹170,₹142,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/eqygqzitcm6lk89wsix4/dr.-reckeweg-selenium-dilution-200-ch.png"
SBL Dysmin Tablet,bottle of 25 gm Tablet,₹165,₹142,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/u6fhteokeaei08mjao87/bakson-s-biocombination-25-tablet.jpg"
SBL Hair Colour 12 Sachets Black,box of 192 gm Powder,₹540,₹464,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg Natrum Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹159,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/hkcwckn0acunapb3jsns/sbl-calcarea-fluoricum-dilution-30-ch.jpg"
SBL Glowing Beauty Fairness Cream,tube of 50 gm Cream,₹100,₹86,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/pkt3toy2qz7yoxfe8zwa/sbl-cina-dilution-30-ch.jpg"
SBL Petroleum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/cbbwi478rtobuebh51rt/sbl-teucrium-marum-verum-dilution-30-ch.jpg"
Bakson's Phytolacca Berry Tablet,bottle of 200 tablets,₹500,₹368,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/70d5e6cd9c9f4b4ab16f6d1fc08cba4c/bjain-guatteria-gaumeri-drop.jpg"
Bakson's Nail & Hair Aid Tablet,bottle of 30 tablets,₹175,₹151,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/lgwnn3baekgykrubxzed/bakson-s-natrum-muriaticum-biochemic-tablet-6x.jpg"
SBL Calcarea Sulphurica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹105,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/lufcwkq6hkfovquwcykv/bakson-s-calcarea-phosphorica-biochemic-tablet-12x.jpg"
Bakson's Kof Aid Plus Cough Syrup Sugar Free,bottle of 450 ml Syrup,₹250,₹215,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/u2soroouyj19p5nbv1jv/sbl-ruta-graveolens-mother-tincture-q.jpg"
Bjain Rauwolfia Serpentina Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹172,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/gheemvpyg8eozgvhsatv/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Cineraria Maritima Euphrasia Eye Drop,bottle of 5 ml Eye Drop,₹65,₹56,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/lqojynrd4o0sy7nqj7jn/sbl-bio-combination-1-tablet.jpg"
Dr. Reckeweg Rhus Tox Dilution 1000 CH,bottle of 11 ml Dilution,₹195,₹171,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/f35147mlcpaswjlwestv/bakson-s-natrum-sulphuricum-biochemic-tablet-3x.jpg"
Boericke and Tafel Arnica Shampoo,bottle of 150 ml Shampoo,₹140,₹123,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/ji4dz9oeg50wrampdlux/dr.-reckeweg-agnus-cast-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/tbc22l3xvovjk25rsbwy/bjain-avena-sativa-mother-tincture-q.jpg"
SBL Bellis Perennis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/j2cd8jl8shxk4hbj9gsb/bakson-s-kali-phosphoricum-biochemic-tablet-3x.jpg"
Dr. Reckeweg Thuja Occ Dilution 1000 CH,bottle of 11 ml Dilution,₹195,₹171,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/g5aig0prubej6bdmjdn3/dr-willmar-schwabe-india-dizester-digestive-tonic.png"
Bakson's Sunny Herbals Shaving Cream,tube of 75 gm Cream,₹75,₹65,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/yywdxoakqvermh86svdm/bakson-b28-weight-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/sw3iigjslpc8blwadmo8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
ADEL Berberis Vulg Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹241,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/qvmga0lfn9mxotebmrbf/wheezal-calendula-dressing-powder.jpg"
Dr. Reckeweg Baptisia Tinctoria Mother Tincture Q,bottle of 20 ml Mother Tincture,₹295,₹291,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/gyhvul1fks5fphnfgpyv/dr.-reckeweg-guaiacum-mother-tincture-q.jpg"
Wheezal Scaboil,bottle of 60 ml Oil,₹175,₹168,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/tfsixq3hflkgr4cramfn/sbl-cactus-grandiflorus-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/42ea5450-ef22-4a3d-9e49-2c110a710708/bjain-omeo-allergy-tablet.jpeg"
Dr Willmar Schwabe India Alpha - WD Drop,bottle of 30 ml Drop,₹115,₹99,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/pjfua6goi4zw0mtqmki6/bakson-s-silicea-biochemic-tablet-6x.jpg"
Dr. Reckeweg R10 Climacteric Drop,bottle of 22 ml Drop,₹270,₹238,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/hm339fp2n1jibrkmqvwz/dr-willmar-schwabe-india-allium-sativum-mother-tincture-q.jpg"
Dr. Reckeweg Agnus Castus Dilution 200 CH,bottle of 11 ml Dilution,₹160,₹138,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/tgik5nmkicmlkdfiq5bz/bakson-s-natrum-phosphoricum-biochemic-tablet-12x.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/prgnisrvwtxwq6spyqp3/bjain-lycopodium-clavatum-dilution-200-ch.jpg"
SBL Bio-Combination 10 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹95,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/wahrj2l4mq53ow1osysg/bakson-s-natrum-muriaticum-biochemic-tablet-12x.jpg"
SBL Acid Benzoicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/mgvfibxvwzohhphwlfih/bakson-s-kali-phosphoricum-biochemic-tablet-12x.jpg"
Bakson's Kof Aid Plus Cough Syrup,bottle of 450 ml Syrup,₹260,₹191,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/mhojizqvavrwarvkmscl/bakson-s-biocombination-23-tablet.jpg"
Dr. Reckeweg Hepar Sulphur Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/142e3072-66bb-4393-8ca2-b45d01651baf/bjain-omeo-mouth-ulcer-tablet.jpeg"
SBL Thlaspi Bursa Pastoris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹198,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/zdpi7kjmtgp9rvowhdsd/bakson-s-calcarea-phosphorica-biochemic-tablet-30x.jpg"
Bakson's Acne Aid Tablet,bottle of 75 tablets,₹215,₹185,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/vwqcxbqzh4j2ndnlilnt/bakson-s-kali-phosphoricum-biochemic-tablet-30x.jpg"
SBL Bio-Combination 15 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹95,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/dt5zsy2kuzxacpfqely0/german-s-diabetic-care-and-cure-drop.jpg"
Bhargava Ague Nil Syrup,bottle of 200 ml Syrup,₹160,₹138,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/hbxdrngazui8y4qro8kq/bjain-terminalia-arjuna-mother-tincture-q.jpg"
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/beyo7rvd2dcwqpfwvr91/allen-gastropep-digestive-tonic.jpg"
SBL Solidago Virgaurea Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹284,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/geywijirjcvdcmtdrbvy/dr-willmar-schwabe-india-alfalfa-mother-tincture-q.jpg"
Bakson's AC#9 Tablet,bottle of 200 tablets,₹500,₹471,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/shwjjsy7tlfqttvaowve/sbl-kali-sulphurica-biochemic-tablet-6x.jpg"
Dr Willmar Schwabe India Agnus Castus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹108,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/i6vpnss1mvrivh2gmsfu/bjain-baryta-carbonica-dilution-30-ch.jpg"
Dr. Reckeweg Rhododendron Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/kdkyx1kpoj4k5avjnvbv/dr-willmar-schwabe-india-hertone-syrup.png"
Wheezal Calendula Nectar Prickly Heat Powder,bottle of 300 gm Powder,₹200,₹172,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/omegpuwehjqezihokfca/sbl-rhus-toxicodendron-dilution-1000-ch.jpg"
Dr Willmar Schwabe Germany Tonsiotren Tablet,bottle of 20 gm Tablet,₹440,₹371,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/fi8laxnnp69p7aslnmxj/bakson-b10-sleep-drop.jpg"
SBL Natrum Sulphurica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹98,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/n3okzw8mairngdiebseh/bjain-andrographis-paniculata-mother-tincture-q.jpg"
Dr. Reckeweg Nux Vomica Dilution 10M CH,bottle of 11 ml Dilution,₹215,₹185,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/tenampbkpqhnwsqw5ibj/dr.-reckeweg-thuja-occi-mother-tincture-q.jpg"
Dr. Reckeweg Fel Tauri Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹240,₹206,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/c2fa9ef534534d3898dc56f79bf37278/dr-willmar-schwabe-india-cholesterinum-trituration-tablet-3x.jpg"
Wheezal Sarsa Syrup,bottle of 200 ml Syrup,₹205,₹185,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/34ba8e610c064c35b323785778535a53/medisynth-wartex-pills.jpg"
Dr. Reckeweg R34 Recalcifying Drop,bottle of 22 ml Drop,₹270,₹243,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/udpudndntjvwpq2a2edd/bjain-phytolacca-berry-mother-tincture-q.jpg"
SBL Cholesterinum Trituration Tablet 6X,bottle of 25 gm Trituration Tablet,₹175,₹151,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/iruz5eksrihpgwp5tytb/sbl-wiesbaden-dilution-200-ch.jpg"
Bjain Chelidonium Majus Mother Tincture Q,bottle of 100 ml Mother Tincture,₹345,₹310,"https://onemg.gumlet.io/images/c_fit,q_auto,w_150,h_150,f_auto/cropped/dzttmq7nqar0jalu4k9q/dr.-reckeweg-r20-glandular-drops-for-women-drop.jpg"
Bakson's Anti Lice Shampoo,bottle of 150 ml Shampoo,₹165,₹130,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/lfkdbdszzailrgk8pofi/bjain-withania-somnifera-mother-tincture-q.jpg"
SBL Baryta Carbonicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/hqbjmsu5szm0luw17ckn/dr.-reckeweg-antimonium-crud-dilution-30-ch.jpg"
SBL Nux Vomica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹90,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr Willmar Schwabe India Aconitum Napellus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹64,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/e82e62f246ee45bd8709fc4481554f8f/medisynth-renakoll-non-sugar-syrup.jpg"
SBL Kali Bromatum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/f5xk8n3stx7lrc160oxh/dr-willmar-schwabe-india-topi-heal-cream.jpg"
SBL Arnica Montana Fortified Hair Oil,bottle of 200 ml Oil,₹205,₹149,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/n1lnqdvppxxjkvshbehv/sbl-cantharis-ointment.jpg"
Allen's Triofer Homoeo Hair & Care Tablet,box of 50 tablets,₹150,₹143,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Biohome Snoring Drop,bottle of 40 ml Drop,₹160,₹141,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/86d547520722402389c73a25cbfc01c0/dr-willmar-schwabe-india-pancreatinum-trituration-tablet-3x.jpg"
Dr. Reckeweg R12 Calcification Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/enzy0dab6fd5qip4v2wt/sbl-pimplex-tablet.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/kq0hclgygs1chrs4edww/dr.-reckeweg-bio-combination-7-bc-7-tablet.jpg"
Dr. Reckeweg Hypericum Per Dilution 200 CH,bottle of 11 ml Dilution,₹160,₹138,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/70d5e6cd9c9f4b4ab16f6d1fc08cba4c/bjain-guatteria-gaumeri-drop.jpg"
SBL Ferrum Phosphoricum Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹85,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/k4frlbjz2nkkt0qyemws/sbl-tuberculinum-dilution-200-ch.jpg"
SBL Argentum Nitricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/cizgswrwzwv12r99s1lv/sbl-cinchona-officinalis-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/fa7988ab7f3a4104aa16702ba37a1856/medisynth-rheuma-saj-massage-oil.jpg"
SBL Paeonia Officianalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹284,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/gheemvpyg8eozgvhsatv/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Bjain Sabal Serrulata Mother Tincture Q,bottle of 100 ml Mother Tincture,₹610,₹525,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/t2ikfaozpzwjzp2skm5w/sbl-relaxhed-tablet.jpg"
Dr. Reckeweg R31 Increases Appetite And Blood Supply Drop,bottle of 22 ml Drop,₹270,₹232,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/knl0epsgc9mmffmvn8bs/sbl-drosera-rotundifolia-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/9cfd62141ce24300bc0df86a574b9735/sbl-alfalfa-malt-energy-stimulant-delicious-chocolate.jpg"
Bakson B1 Influenza & Fever Drop,bottle of 30 ml Drop,₹175,₹154,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/tbc22l3xvovjk25rsbwy/bjain-avena-sativa-mother-tincture-q.jpg"
Allen A86 Proteinuria Drop,bottle of 30 ml Drop,₹170,₹146,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/obmytxkb8lxv1sroawn0/sbl-stellaria-media-mother-tincture-q.jpg"
SBL Colchicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/q5qbtjci6529rdqqpmdd/bjain-berberis-aquifolium-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/absc0pujygisqpxxre77/haslab-mamira-eye-drop.jpg"
Dr Willmar Schwabe India Sterculia Acuminata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/sw3iigjslpc8blwadmo8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Magnesia Phosphorica Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹95,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/edoxg6oqv2v1thwavjtw/dr.-reckeweg-causticum-dilution-30-ch.jpg"
SBL Rite-Hite Tablet,bottle of 450 gm Tablet,₹825,₹710,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/oyvey7m3crobasaorkpq/sbl-medorrhinum-dilution-200-ch.jpg"
Dr. Reckeweg Acidum Phosph Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹120,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/ju2p0jbodtdejaz2rpte/dr.-reckeweg-bio-combination-11-bc-11-tablet.jpg"
Allen A26 Piles Drop,bottle of 30 ml Drop,₹170,₹146,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/42ea5450-ef22-4a3d-9e49-2c110a710708/bjain-omeo-allergy-tablet.jpeg"
Dr Willmar Schwabe India Psoralea Corylifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹95,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/oqq3garabltiy2ebqpmm/lord-s-ashwagandha-mother-tincture-q.jpg"
Bakson's Calcarea Fluorica Biochemic Tablet 6X,bottle of 250 biochemic tablets,₹120,₹109,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/uqtsep90ahxhymlg7ern/sbl-syzygium-jambolanum-trituration-tablet-1x.jpg"
SBL Thyroidinum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/fffe0837669341feba9e771caebe4463/medisynth-renakoll-non-sugar-syrup.jpg"
Dr. Reckeweg Gymnema Syl Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹224,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/prgnisrvwtxwq6spyqp3/bjain-lycopodium-clavatum-dilution-200-ch.jpg"
Allen A08 Diabetes Drop,bottle of 30 ml Drop,₹170,₹153,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/je7vt9ranpin1tg8yfbo/dr.-reckeweg-arnica-mont-mother-tincture-q.jpg"
Dr Willmar Schwabe India Tussistin Plus Cough Syrup With Ginger,bottle of 100 ml Syrup,₹105,₹82,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/nzcyv6btybzyyfzomw1b/sbl-cinchona-officinalis-mother-tincture-q.jpg"
Dr. Reckeweg Silicea Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/rpgith1a68fryrbczsno/dr-willmar-schwabe-india-belladonna-dilution-30-ch.jpg"
Wheezal WL40 Varicose Veins Drop,bottle of 30 ml Drop,₹170,₹146,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/142e3072-66bb-4393-8ca2-b45d01651baf/bjain-omeo-mouth-ulcer-tablet.jpeg"
SBL Eupatorium Perfoliatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/zoxcmhtaj0tbt2ebgrjf/bakson-s-astha-aid-syrup.jpg"
SBL Ammi Visnaga Cream,tube of 25 gm Cream,₹75,₹64,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/mpai00udzwzllqut1lxs/boericke-and-tafel-calendula-aloe-vera-multipurpose-cream.jpg"
Bakson's Alfavena Malt,jar of 500 gm Powder,₹380,₹327,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/ncstbecuwm4ucg503mva/sbl-bryonia-alba-mother-tincture-q.jpg"
Dr. Reckeweg Echinacea Ang Mother Tincture Q,bottle of 20 ml Mother Tincture,₹295,₹260,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/hbxdrngazui8y4qro8kq/bjain-terminalia-arjuna-mother-tincture-q.jpg"
